videoTitle,url,id,start,stop
Copy of IMG_8397.MOV,https://docs.google.com/file/d/1wU7SFp0rZd9ap_nBgKTjZdp3dMACvUG-/preview,1wU7SFp0rZd9ap_nBgKTjZdp3dMACvUG-,0,END
Copy of IMG_8403.MOV,https://docs.google.com/file/d/1fLdAAu_WtC6erS2aH_mU8Dk4c-d9xoRS/preview,1fLdAAu_WtC6erS2aH_mU8Dk4c-d9xoRS,0,END
Copy of Lil Nas X - Old Town Road (Official Video) ft. Billy Ray Cyrus-r7qovpFAGrQ.mp4,https://docs.google.com/file/d/1h8Ran6K9x03hX97tnC1cLEyc_QUyWvd-/preview,1h8Ran6K9x03hX97tnC1cLEyc_QUyWvd-,0,END
IMG_2983.mov,https://docs.google.com/file/d/1lAIlbS3L86p3_HrHd4wJzvyzs0NMQPLD/preview,1lAIlbS3L86p3_HrHd4wJzvyzs0NMQPLD,0,END
IMG_2987.mov,https://docs.google.com/file/d/12Dj0R8Vuelcw_-4v3J45HLPGARLZnUQP/preview,12Dj0R8Vuelcw_-4v3J45HLPGARLZnUQP,6869,11296
IMG_2196.MOV,https://docs.google.com/file/d/1trqnPy7RcrWhyNiiIQ4bzNLqTXVO2HUg/preview,1trqnPy7RcrWhyNiiIQ4bzNLqTXVO2HUg,0,END
IMG_2192.MOV,https://docs.google.com/file/d/1CkYIZ-JDuWZamQjajBvnWCGyEnq1aCKQ/preview,1CkYIZ-JDuWZamQjajBvnWCGyEnq1aCKQ,0,END
IMG_2197.MOV,https://docs.google.com/file/d/1Rh-DJxpI7q8rkTh7LQkxPa42UVeSHmyT/preview,1Rh-DJxpI7q8rkTh7LQkxPa42UVeSHmyT,0,END
Copy of IMG_1933.MOV,https://docs.google.com/file/d/1UPrD4F1dU0I9gh3PHOEpZSy9kZ2lC8Jb/preview,1UPrD4F1dU0I9gh3PHOEpZSy9kZ2lC8Jb,0,END
Copy of IMG_1872.MOV - Travel Poster,https://docs.google.com/file/d/14QEsuPMcoPp9a1hbx2ZPa7Pv5VRCNNjo/preview,14QEsuPMcoPp9a1hbx2ZPa7Pv5VRCNNjo,0,END
Copy of IMG_1873.MOV - Sunshine Sign,https://docs.google.com/file/d/1ZN0fHryQqAa6Rla4wcDltJMWzWW_6c02/preview,1ZN0fHryQqAa6Rla4wcDltJMWzWW_6c02,0,END
Copy of IMG_8398.MOV,https://docs.google.com/file/d/1bxfsNDT1H0uofMLytYVR_hGY9C2heyve/preview,1bxfsNDT1H0uofMLytYVR_hGY9C2heyve,0,END
Copy of IMG_8400.MOV,https://docs.google.com/file/d/1A-bIAexyouXy9OUVCNcomL2aY1wxSnkA/preview,1A-bIAexyouXy9OUVCNcomL2aY1wxSnkA,0,END
Copy of IMG_8401.MOV,https://docs.google.com/file/d/1E2VyIb_MX94kmZa2Oe5EEiNuy9mX6SxP/preview,1E2VyIb_MX94kmZa2Oe5EEiNuy9mX6SxP,0,END
Copy of IMG_8399.MOV,https://docs.google.com/file/d/1XgAngx1dClbHWPaw-XnEBq8diaFk2Rhd/preview,1XgAngx1dClbHWPaw-XnEBq8diaFk2Rhd,0,END
Copy of IMG_8402.MOV,https://docs.google.com/file/d/1vnSKmBkA2606XYvudvAJD5FoxCDMqbER/preview,1vnSKmBkA2606XYvudvAJD5FoxCDMqbER,0,END
Copy of IMG_8397.MOV,https://docs.google.com/file/d/1wU7SFp0rZd9ap_nBgKTjZdp3dMACvUG-/preview,1wU7SFp0rZd9ap_nBgKTjZdp3dMACvUG-,0,END
Copy of IMG_8403.MOV,https://docs.google.com/file/d/1fLdAAu_WtC6erS2aH_mU8Dk4c-d9xoRS/preview,1fLdAAu_WtC6erS2aH_mU8Dk4c-d9xoRS,0,END
B-roll: COVID at the park.MOV,https://docs.google.com/file/d/11BaUMkCAr2BDNX6CGoI8kF5Hfjm8Up6j/preview,11BaUMkCAr2BDNX6CGoI8kF5Hfjm8Up6j,0,END
Copy of VID_20200622_191327.mp4,https://docs.google.com/file/d/1lGgdJECpD9PGw9aNvicfmDnQcmNz78gP/preview,1lGgdJECpD9PGw9aNvicfmDnQcmNz78gP,0,END
Copy of VID_20200622_191409.mp4,https://docs.google.com/file/d/1h1e22vJUK7VNhT9a8aHl6NU1g1_qv751/preview,1h1e22vJUK7VNhT9a8aHl6NU1g1_qv751,0,END
Copy of VID_20200622_191349.mp4,https://docs.google.com/file/d/1uLWkRCIgBQght9vWgZ8xw35vHn0Ea_2E/preview,1uLWkRCIgBQght9vWgZ8xw35vHn0Ea_2E,0,END
Copy of VID_20200622_191436.mp4,https://docs.google.com/file/d/1AyhKk-T3jWljbti_gbfY6_SXhzC1uJeu/preview,1AyhKk-T3jWljbti_gbfY6_SXhzC1uJeu,0,END
Copy of VID_20200622_191513.mp4,https://docs.google.com/file/d/11VOcLG_zTdvxLet6hNXpgwGn4Yn69i7X/preview,11VOcLG_zTdvxLet6hNXpgwGn4Yn69i7X,0,END
Copy of VID_20200622_191301.mp4,https://docs.google.com/file/d/1wfwsKXtHtTjUOlC0W5NzkZr-msOuPPT6/preview,1wfwsKXtHtTjUOlC0W5NzkZr-msOuPPT6,0,END
